usuario,hotel_recomendado,hotel_compartido,valor_metrica
339,1144,3620,0.4
339,1144,880,0.0
339,1144,5360,0.5
339,1144,2109,0.0
339,1195,3620,0.5
339,1195,880,0.0
339,1195,5360,0.4
339,1195,2109,0.25
339,1298,3620,0.6153846153846154
339,1298,880,0.0
339,1298,5360,0.6875
339,1298,2109,0.3333333333333333
339,1356,3620,0.5
339,1356,880,0.3333333333333333
339,1356,5360,0.7142857142857143
339,1356,2109,0.0
339,1396,3620,0.7692307692307693
339,1396,880,0.5
339,1396,5360,0.7
339,1396,2109,0.0
339,1442,3620,0.5
339,1442,880,0.6
339,1442,5360,0.6666666666666666
339,1442,2109,0.0
339,150,3620,0.6666666666666666
339,150,880,0.0
339,150,5360,0.625
339,150,2109,0.2
339,1798,3620,0.2857142857142857
339,1798,880,0.2
339,1798,5360,0.16666666666666666
339,1798,2109,0.14285714285714285
339,180,3620,0.0
339,180,880,0.0
339,180,5360,0.25
339,180,2109,0.0
339,1840,3620,0.0
339,1840,880,0.4
339,1840,5360,0.2
339,1840,2109,0.0
339,2085,3620,0.6
339,2085,880,0.2
339,2085,5360,0.6666666666666666
339,2085,2109,0.0
339,2191,3620,0.0
339,2191,880,0.0
339,2191,5360,0.2
339,2191,2109,0.0
339,2344,3620,0.75
339,2344,880,0.5
339,2344,5360,0.7692307692307693
339,2344,2109,0.5714285714285714
339,2417,3620,0.2
339,2417,880,0.0
339,2417,5360,0.3333333333333333
339,2417,2109,0.2
339,25,3620,0.0
339,25,880,0.5
339,25,5360,0.6666666666666666
339,25,2109,0.0
339,2557,3620,0.0
339,2557,880,0.5
339,2557,5360,0.0
339,2557,2109,0.0
339,2612,3620,0.0
339,2612,880,0.0
339,2612,5360,0.0
339,2612,2109,0.375
339,2781,3620,0.4
339,2781,880,0.25
339,2781,5360,0.5
339,2781,2109,0.2
339,3117,3620,0.3333333333333333
339,3117,880,0.0
339,3117,5360,0.4
339,3117,2109,0.25
339,3143,3620,0.2857142857142857
339,3143,880,0.25
339,3143,5360,0.6363636363636364
339,3143,2109,0.16666666666666666
339,3165,3620,0.5555555555555556
339,3165,880,0.3333333333333333
339,3165,5360,0.5714285714285714
339,3165,2109,0.3333333333333333
339,3705,3620,0.2
339,3705,880,0.0
339,3705,5360,0.16666666666666666
339,3705,2109,0.16666666666666666
339,3732,3620,0.25
339,3732,880,0.5
339,3732,5360,0.3333333333333333
339,3732,2109,0.0
339,4088,3620,0.3333333333333333
339,4088,880,0.25
339,4088,5360,0.5
339,4088,2109,0.25
339,4194,3620,0.5
339,4194,880,0.3333333333333333
339,4194,5360,0.42857142857142855
339,4194,2109,0.42857142857142855
339,4254,3620,0.7692307692307693
339,4254,880,0.0
339,4254,5360,0.7333333333333333
339,4254,2109,0.2
339,4294,3620,0.6153846153846154
339,4294,880,0.0
339,4294,5360,0.5555555555555556
339,4294,2109,0.4444444444444444
339,4314,3620,0.0
339,4314,880,0.0
339,4314,5360,0.0
339,4314,2109,0.25
339,4427,3620,0.3333333333333333
339,4427,880,0.25
339,4427,5360,0.25
339,4427,2109,0.0
339,45,3620,0.0
339,45,880,0.5
339,45,5360,0.0
339,45,2109,0.0
339,4525,3620,0.8
339,4525,880,0.0
339,4525,5360,0.8181818181818182
339,4525,2109,0.3333333333333333
339,4656,3620,0.625
339,4656,880,0.0
339,4656,5360,0.6
339,4656,2109,0.3333333333333333
339,4673,3620,0.7058823529411765
339,4673,880,0.0
339,4673,5360,0.6
339,4673,2109,0.2857142857142857
339,4749,3620,0.75
339,4749,880,0.25
339,4749,5360,0.6923076923076923
339,4749,2109,0.0
339,478,3620,0.6666666666666666
339,478,880,0.0
339,478,5360,0.5
339,478,2109,0.2
339,4783,3620,0.2857142857142857
339,4783,880,0.0
339,4783,5360,0.2
339,4783,2109,0.5
339,5035,3620,0.2857142857142857
339,5035,880,0.2
339,5035,5360,0.2857142857142857
339,5035,2109,0.4
339,5111,3620,0.4
339,5111,880,0.0
339,5111,5360,0.5
339,5111,2109,0.0
339,5201,3620,0.5
339,5201,880,0.0
339,5201,5360,0.6666666666666666
339,5201,2109,0.25
339,522,3620,0.25
339,522,880,0.5
339,522,5360,0.5
339,522,2109,0.25
339,5241,3620,0.0
339,5241,880,0.0
339,5241,5360,0.0
339,5241,2109,0.4
339,5341,3620,0.3333333333333333
339,5341,880,0.0
339,5341,5360,0.4
339,5341,2109,0.25
339,5571,3620,0.8333333333333334
339,5571,880,0.0
339,5571,5360,0.7857142857142857
339,5571,2109,0.0
339,558,3620,0.25
339,558,880,0.0
339,558,5360,0.3333333333333333
339,558,2109,0.0
339,566,3620,0.16666666666666666
339,566,880,0.0
339,566,5360,0.16666666666666666
339,566,2109,0.14285714285714285
339,581,3620,0.5555555555555556
339,581,880,0.2
339,581,5360,0.5
339,581,2109,0.16666666666666666
339,686,3620,0.0
339,686,880,0.0
339,686,5360,0.375
339,686,2109,0.25
339,725,3620,0.4444444444444444
339,725,880,0.25
339,725,5360,0.42857142857142855
339,725,2109,0.375
339,9,3620,0.3333333333333333
339,9,880,0.0
339,9,5360,0.5
339,9,2109,0.25
339,904,3620,0.42857142857142855
339,904,880,0.25
339,904,5360,0.6153846153846154
339,904,2109,0.2857142857142857
